Close,SMA14,SMA50,SMA14IND,SMA50IND,Bulls,CCI,DM,OSMA,RSI,Stoch,Decision
0.70317,0.69909,0.69854,-0.00048,0.00017,nan,80,0.1,0.0005,0,50,SELL
0.70153,0.69906,0.69873,-0.00003,0.00018,0,-40,0.1,0.0005,0,0,WAIT
0.70134,0.69904,0.69884,-0.00002,0.00011,-0.002,0,0,0,0,-10,WAIT
0.70142,0.69913,0.69898,0.00010,0.00014,0.001,0,0,0.0005,0,-10,WAIT
0.70108,0.69909,0.69913,-0.00005,0.00015,-0.0015,-20,0,0,0,-10,WAIT
0.70123,0.69915,0.69925,0.00006,0.00012,0,20,-0.1,0,0,-10,WAIT
0.70117,0.69894,0.69942,-0.00022,0.00017,0,0,0,-0.00025,0,-10,WAIT
0.70175,0.69872,0.69957,-0.00021,0.00015,0,20,0.2,-0.00025,0,10,STRONGSELL
0.70126,0.69913,0.69974,0.00041,0.00017,nan,-20,0.1,0,0,-10,STRONGSELL
0.70055,0.69950,0.69980,0.00037,0.00006,-0.0045,-40,-0.1,0,0,-10,STRONGSELL
0.69101,0.69995,0.69985,0.00045,0.00005,0.0005,-210,-0.2,-0.001,-20,-20,BUY
0.69268,0.69967,0.69968,-0.00029,-0.00018,-0.0065,30,0,-0.0005,0,0,STRONGSELL
0.6942,0.69960,0.69959,-0.00006,-0.00009,0.0025,60,0,0,10,0,SELL
nan,0.69940,0.69946,-0.00020,-0.00013,0,0,0,0,-10,10,WAIT
0.68967,0.69897,0.69937,-0.00043,-0.00009,0.0005,-20,-0.2,0,0,0,STRONGBUY
0.69147,0.69800,0.69923,-0.00096,-0.00014,-0.001,40,0,0,0,10,SELL
0.69354,0.69728,0.69908,-0.00072,-0.00015,0.0025,39.95,0.1,0,10,10,STRONGSELL
0.69287,0.69673,0.69912,-0.00056,0.00004,-0.0005,0,-0.1,0.0005,0,30,SELL
0.6902,0.69612,0.69912,-0.00061,0.00000,0.0015,-39.95,0.1,0,-10,-10,STRONGSELL
0.6882,0.69534,0.69903,-0.00078,-0.00009,-0.003,-20,-0.1,0,0,-20,BUY
0.69069,0.69441,0.69885,-0.00093,-0.00018,0.0015,59.95,0,0,10,-10,WAIT
0.68648,0.69366,0.69873,-0.00075,-0.00012,0,-99.95,0,0,-10,-10,STRONGBUY
0.69026,0.69257,0.69853,-0.00109,-0.00020,-0.0005,99.95,-0.1,0.0005,10,20,STRONGBUY
0.69089,0.69178,0.69839,-0.00079,-0.00014,0.002,40.05,0.1,0,0,10,STRONGBUY
0.69317,0.69109,0.69825,-0.00069,-0.00014,0.003,80,0.2,0.0005,0,20,BUY
0.69353,0.69125,0.69816,0.00015,-0.00009,-0.0005,20,0,0,0,10,STRONGBUY
0.69487,0.69131,0.69809,0.00006,-0.00007,0.0005,40,0,0.0005,10,0,BUY
0.69489,0.69136,0.69802,0.00005,-0.00008,-0.0005,-20,0,0.00025,0,0,BUY
0.69921,0.69148,0.69785,0.00012,-0.00017,0.005,80,0.2,0.00025,0,0,SELL
0.69774,0.69216,0.69779,0.00068,-0.00006,-0.0025,-60,0,0.0005,0,-10,SELL
0.69755,0.69261,0.69767,0.00045,-0.00012,0.0015,-20,0,-0.0005,0,-10,SELL
0.69732,0.69290,0.69749,0.00029,-0.00018,-0.00293,-20,0,0,0,-10,BUY
0.69651,0.69321,0.69732,0.00032,-0.00018,0.00043,-40,0,0,0,0,STRONGBUY
0.69463,0.69367,0.69716,0.00045,-0.00016,-0.002,-40,0,-0.0005,-10,-10,STRONGBUY
